fold,accuracy,roc_auc,average_precision,recall,precision,f1,balanced_accuracy,specificity,tn,fp,fn,tp,target,modelo,f2
1,0.7889799154334038,0.8879893373818017,0.5092591235434992,0.8464285714285714,0.3262964662689307,0.4710168930109307,0.8141179718022762,0.781807372175981,5260,1468,129,711,IRAMDEYR,Regresión Logística,0.6418126015526269
2,0.7963794926004228,0.8929407486835399,0.5176687110150243,0.8690476190476191,0.3378065710319297,0.4865044985004998,0.8281771983466395,0.7873067776456599,5297,1431,110,730,IRAMDEYR,Regresión Logística,0.6611121173700417
3,0.8014006342494715,0.8990348614178133,0.523947901497552,0.8726190476190476,0.3442930953499295,0.4937689457729875,0.8325639827869317,0.7925089179548157,5332,1396,107,733,IRAMDEYR,Regresión Logística,0.6676990344325013
4,0.8033826638477801,0.8940137343581904,0.5108963605255523,0.8642857142857143,0.3457142857142857,0.4938775510204081,0.8300322745031425,0.7957788347205708,5354,1374,114,726,IRAMDEYR,Regresión Logística,0.6648351648351648
5,0.7970133474296287,0.8870491596501695,0.5095955329289807,0.8379022646007152,0.3342843556823585,0.477906186267845,0.8149083261172423,0.7919143876337693,5328,1400,136,703,IRAMDEYR,Regresión Logística,0.6438908224949624
1,0.7825052854122622,0.8907516915803182,0.5191634184604417,0.8464285714285714,0.3191202872531418,0.4634941329856584,0.8104764735858672,0.7745243757431629,5211,1517,129,711,IRAMDEYR,XGBoost,0.636184681460272
2,0.7864693446088795,0.8945580127116245,0.5273322591734526,0.875,0.3272484416740873,0.4763447828904731,0.8252080856123662,0.7754161712247325,5217,1511,105,735,IRAMDEYR,XGBoost,0.6555476275419194
3,0.797568710359408,0.9002195869429817,0.5234187802518069,0.8809523809523809,0.3406998158379374,0.4913678618857902,0.8340552630088897,0.7871581450653984,5296,1432,100,740,IRAMDEYR,XGBoost,0.6688358640636298
4,0.7937367864693446,0.8922009477096428,0.5057454910280262,0.8642857142857143,0.3341003221352968,0.4819117158977763,0.8246071853235943,0.7849286563614745,5281,1447,114,726,IRAMDEYR,XGBoost,0.6560636182902584
5,0.7911986256112066,0.8878202243767352,0.5142712722448564,0.8510131108462455,0.3291839557399723,0.4747340425531915,0.8173763532828136,0.7837395957193817,5273,1455,125,714,IRAMDEYR,XGBoost,0.6461538461538461
1,0.7629492600422833,0.8172439963384652,0.302503619972776,0.7411347517730497,0.2023233301064859,0.3178707224334601,0.7529203170629954,0.7647058823529411,5356,1648,146,418,IRSUICTHNK,Regresión Logística,0.4835724201758445
2,0.766252642706131,0.8107004963728933,0.3325922797932232,0.7216312056737588,0.2015849430411094,0.3151374370886566,0.7457385040361941,0.7698458023986293,5392,1612,157,407,IRSUICTHNK,Regresión Logística,0.4760233918128654
3,0.7657241014799154,0.8192884208010822,0.3098130345806195,0.7216312056737588,0.2011863568956994,0.3146501739466563,0.7454529529225448,0.7692747001713307,5388,1616,157,407,IRSUICTHNK,Regresión Logística,0.4755784061696657
4,0.760438689217759,0.8213701707610526,0.2958957252033138,0.7335701598579041,0.1989402697495183,0.3129973474801061,0.7480841520203154,0.7625981441827266,5342,1663,150,413,IRSUICTHNK,Regresión Logística,0.4771256931608133
5,0.761067794370292,0.8202355568449593,0.2972669903391424,0.7353463587921847,0.1997105643994211,0.3141122913505311,0.7492408550100272,0.7631353512278698,5345,1659,149,414,IRSUICTHNK,Regresión Logística,0.4786127167630057
1,0.7581923890063424,0.8146068254816903,0.3031360984104125,0.7287234042553191,0.1968390804597701,0.3099547511312217,0.7446443977301724,0.7605653912050258,5327,1677,153,411,IRSUICTHNK,XGBoost,0.4730662983425414
2,0.755946088794926,0.8090833859881486,0.341029390729591,0.7375886524822695,0.1966903073286052,0.3105636431504293,0.7475064907185762,0.7574243289548829,5305,1699,148,416,IRSUICTHNK,XGBoost,0.47586364676275456
